date,Arabian Sea heatwave_share,Arabian Sea deep_share_of_heatwave,Bay of Bengal heatwave_share,Bay of Bengal deep_share_of_heatwave
2023-10-21,0.5431061313414255,0.5212034383954155,0.1605894105894106,0.04665629860031104
2023-10-22,0.6131957473420888,0.5346761856195819,0.10670731707317073,0.0
2023-10-23,0.6622703721149317,0.5509720246562352,0.0781010719754977,0.049019607843137254
2023-10-24,0.6666666666666666,0.5412541254125413,0.17833418497700562,0.1833810888252149
2023-10-25,0.6262943206777534,0.5363226452905812,0.2795358649789029,0.16886792452830188
2023-10-26,0.6332391713747646,0.5157372986369269,0.36455026455026457,0.14949201741654572
2023-10-27,0.6753655085678353,0.5374767225325885,0.3987189751801441,0.10107095046854082
2023-10-28,0.6585826771653543,0.5329985652797704,0.23135504201680673,0.08853575482406356
2023-10-29,0.6121136042680057,0.521404768008203,0.27848761408083444,0.0852059925093633
2023-10-30,0.5905240037652966,0.5215196599362381,0.2710688591983556,0.07393364928909953
2023-10-31,0.6278301886792453,0.5254194840971701,0.1613479703854991,0.13132911392405064
2023-11-01,0.6383851127582401,0.5358201581027668,0.09262522023659703,0.2418478260869565
2023-11-02,0.6385390428211587,0.5441321499013807,0.1108254049884289,0.24361948955916474
2023-11-03,0.6123154256990261,0.5425859415084658,0.17013527575442247,0.20030581039755352
2023-11-04,0.631447327289778,0.5477722772277228,0.2778662420382166,0.14231136580706782
2023-11-05,0.589863184079602,0.5345282024248814,0.2839831401475237,0.08534322820037106
2023-11-06,0.6649548708372238,0.5118183945705593,0.33028481839561014,0.061708860759493674
2023-11-07,0.7533053351998755,0.5316952302291967,0.4023977065415689,0.0744818652849741
2023-11-08,0.8058998901616193,0.5352414330218068,0.45544297220057156,0.12378779235596121
2023-11-09,0.8233627204030227,0.5390057361376673,0.4722513089005236,0.11917960088691797
2023-11-10,0.8409703504043127,0.5473227752639518,0.533457249070632,0.101543056246889
2023-11-11,0.8346909439386679,0.5564485265977803,0.5998400426552919,0.11333333333333333
2023-11-12,0.7312147777082029,0.5480625133804324,0.5650308393671225,0.10536307546274323
2023-11-13,0.7835375431982406,0.5485164394546913,0.45120671563483733,0.09709302325581395
2023-11-14,0.7783715812637535,0.5405896607431341,0.34149484536082475,0.12830188679245283
2023-11-15,0.8203959773727215,0.554491476728596,0.3416370106761566,0.07142857142857142
2023-11-16,0.8564909520062942,0.5623736909792394,0.33945646703573223,0.09340252038547071
2023-11-17,0.7641057350440563,0.5818328950030346,0.33540218470705063,0.11472982975573649
